total_acci,fatal_abs,no_fatal_abs,material_abs,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,lunes,martes,miercoles,jueves,viernes,sabado,domingo,automovil,camioneta_de_pasajeros,microbus,camion_urbano_de_pasajeros,omnibus,camioneta_de_carga,camion_de_carga,tractor,ferrocarril,motocicleta,bicicleta,otro_tipo_de_transporte,hombre,mujer,fuga,menor_de_xviii,xviii_a_xxx,xxx_a_xl,xl_a_xlv,mas_de_lxi,conductor,peaton_o_pasajero,falla_del_vehiculo,mala_condicion_camino,otra,pavimentada,no_pavimentada,colision_vehiculo,atropellamiento,colision_animal,colision_objeto_fijo,volcadura,caida_pasajero,salida_camino,incendio,colision_ferrocarril,colision_con_motocicleta,colision_ciclista,otro_tipo_de_accidente
14818.0,0.75583749,6.57983534,92.6643272,8.71912539,9.40747739,8.55041166,8.70562829,9.06330139,7.65960319,8.51666892,8.38169793,7.67310028,7.63260899,7.99028209,7.70009448,14.3474153,13.6050749,14.0167364,14.2259414,15.7241193,15.7646106,12.316102,63.9931052,9.04023178,0.79583379,5.28477647,0.30806469,10.3678439,4.64664246,1.27626802,0.06234643,3.57941834,0.38141343,0.26405545,81.8126603,14.3811581,3.80618167,1.6595465,41.1846862,38.7364443,14.7551758,3.66414722,94.6146578,1.15400189,1.74787421,0.80982589,1.67364017,97.9281954,2.07180456,66.9051154,1.70738291,0.31043326,15.6431367,1.58590903,0.48589553,7.05898232,0.08773114,0.08098259,4.92644082,0.61411796,0.59387232
13990.0,0.87205147,6.99785561,92.1300929,7.03359543,7.06218728,8.1915654,7.52680486,7.19085061,7.76268763,7.09077913,9.11365261,9.46390279,9.72122945,9.6926376,10.1501072,14.3388134,13.6168692,13.7240886,14.038599,15.6969264,15.6969264,12.887777,62.9343779,8.96292274,0.82221533,3.14536146,2.50542972,8.52078809,6.36441204,2.56748371,0.06981074,3.50605026,0.31026993,0.29087806,81.4012739,15.0884643,3.51026185,1.33345108,40.7718121,38.6612504,14.9063935,4.3270929,94.5746962,1.20085776,1.54395997,1.3652609,1.31522516,98.4203002,1.57969979,67.3766976,1.95139385,0.27877055,13.466762,1.84417441,0.60757684,7.97712652,0.0571837,0.10721944,5.06790565,0.51465332,0.7505361
15185.0,0.96147514,6.49983536,92.5386895,8.26473494,7.65887389,8.89035232,8.04741521,7.92229174,8.58083635,8.10009878,8.59400724,7.23740533,9.14718472,9.02206124,8.53473823,14.5143233,13.7767534,13.4869937,13.7372407,15.9697069,15.7984853,12.7164965,61.3766799,9.02933733,0.44202046,3.24742452,2.47745339,8.08826151,7.33611378,3.16187217,0.02851745,4.12433608,0.33864471,0.34933875,82.1212529,14.3366044,3.54214276,1.26074977,40.7280621,37.5803624,15.8804375,4.55038824,95.6865328,0.88903523,1.67270333,1.13928219,0.61244649,98.6960817,1.30391834,66.3747119,2.00197563,0.21731972,14.5077379,1.712216,0.57951926,7.8037537,0.11195258,0.05268357,5.73592361,0.5992756,0.30293052
13402.0,1.13415908,7.39441874,91.4714222,8.96134905,9.55081331,9.97612297,8.35696165,8.76734816,7.8197284,7.28249515,7.87195941,7.64811222,7.86449784,7.96895986,7.93165199,14.1471422,13.6919863,13.4159081,13.6696016,15.8483808,16.072228,13.154753,59.6136494,11.3362316,0.15175129,3.87581002,1.34935608,8.1248462,6.84521368,2.87507177,0.07382495,4.91756214,0.46345665,0.37322615,79.3814433,16.0583942,4.56016254,1.0915493,40.4753521,37.9225352,15.6426056,4.86795775,95.6275183,1.09685122,1.7907775,1.0744665,0.41038651,98.9777645,1.02223549,62.2668258,2.08177884,0.23130876,17.4600806,1.94747053,0.62677212,8.12565289,0.07461573,0.06715416,6.18564393,0.716311,0.21638561
10050.0,1.46268657,8.31840796,90.2189055,8.70646766,10.1393035,8.97512438,6.95522388,6.69651741,7.71144279,8.35820896,8.44776119,8.06965174,9.29353234,8.25870647,8.3880597,13.3930348,12.278607,13.1044776,13.1542289,15.7711443,17.6119403,14.6865672,58.9939705,10.4399285,0.20656543,2.47878517,0.77601608,11.2829388,5.83966056,2.61277356,0.0334971,6.0015632,0.5527021,0.78159893,74.9368037,19.9887651,5.07443123,1.32685701,39.6043123,36.9624452,17.2846819,4.82170359,95.0049751,1.11442786,2.67661692,0.92537313,0.27860697,98.7860697,1.21393035,55.60199,2.3880597,0.43781095,23.5820896,2.71641791,0.41791045,6.28855721,0.18905473,0.02985075,7.1641791,0.85572139,0.32835821
