total_acci,fatal_abs,no_fatal_abs,material_abs,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,lunes,martes,miercoles,jueves,viernes,sabado,domingo,automovil,camioneta_de_pasajeros,microbus,camion_urbano_de_pasajeros,omnibus,camioneta_de_carga,camion_de_carga,tractor,ferrocarril,motocicleta,bicicleta,otro_tipo_de_transporte,hombre,mujer,fuga,conductor,peaton_o_pasajero,falla_del_vehiculo,mala_condicion_camino,otra,pavimentada,no_pavimentada,colision_vehiculo,atropellamiento,colision_animal,colision_objeto_fijo,volcadura,caida_pasajero,salida_camino,incendio,colision_ferrocarril,colision_con_motocicleta,colision_ciclista,otro_tipo_de_accidente,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,menor_de_xviii,xviii_a_xxx,xxx_a_xl,xl_a_lx,mas_de_lx,edad_no_especificada
"11,642.00",77.00,"1,304.00","10,261.00",889.00,808.00,823.00,866.00,723.00,797.00,821.00,"1,069.00","1,090.00","1,349.00","1,150.00","1,257.00","1,498.00","1,471.00","1,580.00","1,589.00","1,870.00","1,968.00","1,663.00","12,813.00","2,562.00",155.00,700.00,867.00,"3,127.00",706.00,348.00,17.00,457.00,99.00,90.00,"9,543.00","1,514.00",585.00,"11,366.00",27.00,187.00,41.00,21.00,"11,511.00",131.00,"8,602.00",270.00,28.00,"1,318.00",216.00,49.00,743.00,12.00,12.00,271.00,70.00,51.00,434.00,284.00,261.00,268.00,232.00,210.00,218.00,462.00,698.00,683.00,555.00,556.00,499.00,584.00,701.00,760.00,696.00,533.00,496.00,686.00,615.00,528.00,426.00,257.00,232.00,"4,567.00","2,686.00","2,620.00","4,510.00","1,767.00"
"14,713.00",104.00,"1,617.00","12,992.00","1,253.00","1,143.00","1,310.00","1,122.00","1,248.00","1,248.00","1,195.00","1,229.00","1,176.00","1,339.00","1,179.00","1,271.00","2,018.00","1,973.00","1,916.00","1,942.00","2,299.00","2,539.00","2,026.00","14,979.00","3,311.00",74.00,289.00,"2,155.00","4,299.00",967.00,505.00,16.00,774.00,161.00,97.00,"11,961.00","1,966.00",786.00,"14,041.00",32.00,344.00,119.00,177.00,"14,428.00",285.00,"10,949.00",341.00,17.00,"1,555.00",253.00,102.00,985.00,14.00,8.00,343.00,98.00,48.00,602.00,314.00,306.00,274.00,260.00,292.00,255.00,470.00,911.00,878.00,693.00,689.00,740.00,766.00,951.00,945.00,830.00,763.00,722.00,781.00,771.00,684.00,518.00,298.00,250.00,"5,886.00","3,723.00","3,548.00","5,990.00","1,730.00"
"14,207.00",75.00,"1,449.00","12,683.00","1,137.00","1,084.00","1,296.00","1,105.00","1,194.00","1,244.00","1,071.00","1,212.00","1,168.00","1,261.00","1,277.00","1,158.00","2,029.00","1,923.00","1,805.00","1,953.00","2,265.00","2,341.00","1,891.00","14,758.00","3,168.00",52.00,631.00,"1,793.00","3,701.00",856.00,434.00,17.00,748.00,130.00,87.00,"11,632.00","1,854.00",721.00,"13,624.00",16.00,386.00,63.00,118.00,"13,964.00",243.00,"10,330.00",363.00,35.00,"1,480.00",198.00,110.00,"1,073.00",7.00,10.00,461.00,90.00,50.00,476.00,275.00,280.00,255.00,272.00,261.00,235.00,469.00,826.00,869.00,644.00,639.00,699.00,714.00,830.00,946.00,900.00,803.00,698.00,800.00,746.00,713.00,537.00,320.00,247.00,"5,447.00","3,682.00","3,491.00","5,996.00","1,644.00"
"14,576.00",92.00,"1,341.00","13,143.00","1,217.00","1,128.00","1,360.00","1,042.00","1,347.00","1,291.00","1,100.00","1,084.00","1,133.00","1,320.00","1,159.00","1,395.00","1,996.00","1,974.00","1,901.00","1,984.00","2,348.00","2,447.00","1,926.00","15,667.00","2,687.00",74.00,403.00,"1,839.00","3,814.00",905.00,459.00,9.00,746.00,126.00,144.00,"12,166.00","1,733.00",677.00,"14,185.00",35.00,245.00,51.00,60.00,"14,231.00",345.00,"10,417.00",358.00,28.00,"1,712.00",184.00,96.00,"1,137.00",4.00,5.00,489.00,101.00,45.00,449.00,314.00,283.00,260.00,269.00,214.00,258.00,456.00,835.00,913.00,702.00,657.00,709.00,811.00,963.00,929.00,864.00,758.00,729.00,816.00,806.00,712.00,539.00,330.00,260.00,"5,525.00","4,126.00","4,021.00","6,643.00","1,356.00"
"12,099.00",69.00,"1,051.00","10,979.00","1,070.00","1,011.00","1,058.00",989.00,"1,098.00","1,012.00",948.00,970.00,918.00,"1,026.00",961.00,"1,038.00","1,618.00","1,557.00","1,646.00","1,575.00","1,956.00","2,052.00","1,695.00","13,421.00","2,187.00",143.00,626.00,838.00,"2,541.00",891.00,319.00,7.00,733.00,82.00,109.00,"9,867.00","1,514.00",718.00,"11,691.00",77.00,220.00,40.00,71.00,"11,812.00",287.00,"7,602.00",299.00,20.00,"2,414.00",134.00,65.00,893.00,8.00,3.00,547.00,68.00,46.00,408.00,277.00,271.00,268.00,247.00,219.00,246.00,435.00,697.00,754.00,599.00,573.00,542.00,609.00,738.00,721.00,678.00,658.00,558.00,666.00,678.00,520.00,454.00,283.00,172.00,"4,445.00","3,203.00","3,113.00","5,614.00","1,216.00"
"12,143.00",105.00,986.00,"11,052.00",869.00,861.00,907.00,861.00,812.00,846.00,766.00,803.00,"1,039.00","1,344.00","1,337.00","1,698.00","1,568.00","1,641.00","1,553.00","1,747.00","1,891.00","2,027.00","1,716.00","14,489.00","2,300.00",208.00,937.00,159.00,"1,931.00","1,063.00",230.00,17.00,719.00,91.00,86.00,"10,122.00","1,525.00",496.00,"11,553.00",106.00,204.00,50.00,230.00,"11,904.00",239.00,"7,225.00",248.00,25.00,"2,986.00",207.00,77.00,735.00,5.00,12.00,493.00,77.00,53.00,419.00,298.00,257.00,274.00,268.00,210.00,238.00,422.00,691.00,688.00,591.00,572.00,542.00,647.00,728.00,746.00,691.00,671.00,621.00,639.00,642.00,581.00,451.00,256.00,143.00,"4,471.00","2,912.00","2,780.00","5,233.00","1,636.00"
"14,818.00",112.00,975.00,"13,731.00","1,292.00","1,394.00","1,267.00","1,290.00","1,343.00","1,135.00","1,262.00","1,242.00","1,137.00","1,131.00","1,184.00","1,141.00","2,126.00","2,016.00","2,077.00","2,108.00","2,330.00","2,336.00","1,825.00","17,449.00","2,465.00",217.00,"1,441.00",84.00,"2,827.00","1,267.00",348.00,17.00,976.00,104.00,72.00,"12,123.00","2,131.00",564.00,"14,020.00",171.00,259.00,120.00,248.00,"14,511.00",307.00,"9,914.00",253.00,46.00,"2,318.00",235.00,72.00,"1,046.00",13.00,12.00,730.00,91.00,88.00,435.00,292.00,276.00,271.00,273.00,206.00,242.00,507.00,879.00,931.00,796.00,724.00,645.00,710.00,951.00,910.00,919.00,833.00,697.00,893.00,803.00,721.00,567.00,337.00,202.00,"5,013.00","3,527.00","3,355.00","6,166.00","2,646.00"
"13,990.00",122.00,979.00,"12,889.00",984.00,988.00,"1,146.00","1,053.00","1,006.00","1,086.00",992.00,"1,275.00","1,324.00","1,360.00","1,356.00","1,420.00","2,006.00","1,905.00","1,920.00","1,964.00","2,196.00","2,196.00","1,803.00","16,227.00","2,311.00",212.00,811.00,646.00,"2,197.00","1,641.00",662.00,18.00,904.00,80.00,75.00,"11,502.00","1,992.00",496.00,"13,231.00",168.00,216.00,191.00,184.00,"13,769.00",221.00,"9,426.00",273.00,39.00,"1,884.00",258.00,85.00,"1,116.00",8.00,15.00,709.00,72.00,105.00,485.00,335.00,286.00,260.00,242.00,213.00,223.00,536.00,794.00,861.00,748.00,627.00,631.00,767.00,872.00,857.00,924.00,702.00,647.00,847.00,739.00,610.00,480.00,304.00,151.00,"4,617.00","3,221.00","3,089.00","5,858.00","2,666.00"
"15,185.00",146.00,987.00,"14,052.00","1,255.00","1,163.00","1,350.00","1,222.00","1,203.00","1,303.00","1,230.00","1,305.00","1,099.00","1,389.00","1,370.00","1,296.00","2,204.00","2,092.00","2,048.00","2,086.00","2,425.00","2,399.00","1,931.00","17,218.00","2,533.00",124.00,911.00,695.00,"2,269.00","2,058.00",887.00,8.00,"1,157.00",95.00,98.00,"12,218.00","2,440.00",527.00,"14,530.00",135.00,254.00,173.00,93.00,"14,987.00",198.00,"10,079.00",304.00,33.00,"2,203.00",260.00,88.00,"1,185.00",17.00,8.00,871.00,91.00,46.00,548.00,329.00,304.00,334.00,278.00,217.00,234.00,489.00,770.00,883.00,825.00,788.00,732.00,837.00,935.00,944.00,931.00,865.00,691.00,844.00,776.00,711.00,557.00,363.00,151.00,"4,878.00","3,346.00","3,205.00","6,208.00","3,208.00"
"13,402.00",152.00,991.00,"12,259.00","1,201.00","1,280.00","1,337.00","1,120.00","1,175.00","1,048.00",976.00,"1,055.00","1,025.00","1,054.00","1,068.00","1,063.00","1,896.00","1,835.00","1,798.00","1,832.00","2,124.00","2,154.00","1,763.00","14,535.00","2,764.00",37.00,945.00,329.00,"1,981.00","1,669.00",701.00,18.00,"1,199.00",113.00,91.00,"10,549.00","2,247.00",606.00,"12,816.00",147.00,240.00,144.00,55.00,"13,265.00",137.00,"8,345.00",279.00,31.00,"2,340.00",261.00,84.00,"1,089.00",10.00,9.00,829.00,96.00,29.00,466.00,335.00,302.00,270.00,265.00,222.00,219.00,480.00,741.00,747.00,722.00,648.00,614.00,710.00,793.00,868.00,822.00,699.00,582.00,751.00,702.00,591.00,521.00,332.00,124.00,"4,598.00","3,133.00","3,053.00","5,927.00","2,042.00"
"10,050.00",147.00,836.00,"9,067.00",875.00,"1,019.00",902.00,699.00,673.00,775.00,840.00,849.00,811.00,934.00,830.00,843.00,"1,346.00","1,234.00","1,317.00","1,322.00","1,585.00","1,770.00","1,476.00","10,567.00","1,870.00",37.00,444.00,139.00,"2,021.00","1,046.00",468.00,6.00,"1,075.00",99.00,140.00,"8,004.00","1,504.00",542.00,"9,548.00",112.00,269.00,93.00,28.00,"9,928.00",122.00,"5,588.00",240.00,44.00,"2,370.00",273.00,42.00,632.00,19.00,3.00,720.00,86.00,33.00,387.00,274.00,225.00,196.00,163.00,122.00,131.00,269.00,433.00,492.00,480.00,507.00,502.00,531.00,635.00,650.00,609.00,570.00,510.00,579.00,559.00,471.00,447.00,308.00,112.00,"3,343.00","2,320.00","2,221.00","4,458.00","1,609.00"
